plot,distance_bin,species,tally_0-20,tally_20-50,tally_50+
s11u,0-5,sage,0,3,6
s11u,0-5,rabbit brush,1,0,0
s11u,0-5,CHVI,0,3,0
s11u,0-5,TESP,0,1,0
s11u,5-10,sage,0,0,5
s11u,5-10,rabbit brush,0,0,2
s11u,5-10,CHVI,1,4,0
s11u,5-10,TESP,0,7,0
s11u,10-15,sage,0,2,2
s11u,10-15,rabbit brush,0,0,1
s11u,10-15,CHVI,0,4,0
s11u,15-20,sage,0,0,4
s11u,15-20,rabbit brush,0,0,4
s11u,15-20,CHVI,0,3,0
s11u,20-25,sage,0,1,5
s11u,20-25,rabbit brush,0,0,1
s11u,25-30,sage,0,2,6
s11u,25-30,rabbit brush,0,0,2
s11u,25-30,CHVI,0,4,0
s11u,30-35,sage,0,2,5
s11u,30-35,rabbit brush,0,0,3
s11u,30-35,CHVI,0,2,0
s11u,35-40,sage,0,2,6
s11u,35-40,rabbit brush,0,2,1
s11u,35-40,CHVI,0,2,0
s11u,40-45,sage,0,2,2
s11u,40-45,rabbit brush,0,0,1
s11u,45-50,sage,0,0,3
s11u,45-50,rabbit brush,0,0,5
s09b,0-5,sage,0,0,1
s09b,5-10,sage,0,0,1
s09b,10-15,sage,0,0,0
s09b,15-20,sage,0,0,0
s09b,20-25,sage,0,0,0
s09b,25-30,sage,0,0,0
s09b,30-35,sage,0,0,0
s09b,35-40,sage,0,1,0
s09b,40-45,sage,0,0,0
s09b,45-50,sage,0,0,0
s09u,0-5,sage,0,0,5
s09u,5-10,sage,0,2,6
s09u,10-15,sage,1,0,7
s09u,15-20,sage,1,0,1
s09u,20-25,sage,0,2,7
s09u,25-30,sage,0,1,6
s09u,30-35,sage,0,0,4
s09u,35-40,sage,0,2,2
s09u,40-45,sage,1,2,2
s09u,45-50,sage,1,0,5
s04b,0-5,sage,0,0,0
s04b,5-10,sage,0,0,0
s04b,10-15,sage,0,0,0
s04b,15-20,sage,0,0,0
s04b,20-25,sage,0,0,0
