"Timestamp","Date","Observer","plot #","burned/unburned","Depth","Pot #","Species","Count"
"2017/01/07 7:38:33 PM CST","2017-01-07","adam","12","Unburned","Top 2","1","brte","47"
"2017/01/07 7:39:39 PM CST","2017-01-07","adam","12","Unburned","Top 2","1","pose","1"
"2017/01/07 7:40:12 PM CST","2017-01-07","adam","08","Unburned","Top 2","1","brte","17"
"2017/01/07 7:41:04 PM CST","2017-01-07","adam","08","Unburned","Top 2","1","pose","12"
"2017/01/07 7:41:36 PM CST","2017-01-07","adam","02","Unburned","Top 2","1","brte","14"
"2017/01/07 7:42:14 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","3","brte","6"
"2017/01/07 7:42:47 PM CST","2017-01-07","adam","12","Unburned","Bottom 4","1","brte","8"
"2017/01/07 7:43:17 PM CST","2017-01-07","adam","12","Unburned","Bottom 4","1","pose","3"
"2017/01/07 7:44:18 PM CST","2017-01-07","adam","14","Burned","Top 2","1","brte","18"
"2017/01/07 7:44:52 PM CST","2017-01-07","adam","01","Unburned","Top 2","2","brte","50"
"2017/01/07 7:45:31 PM CST","2017-01-07","adam","13","Unburned","Top 2","2","brte","51"
"2017/01/07 7:46:05 PM CST","2017-01-07","adam","13","Unburned","Top 2","1","brte","26"
"2017/01/07 7:46:40 PM CST","2017-01-07","adam","01","Unburned","Top 2","1","brte","68"
"2017/01/07 7:47:06 PM CST","2017-01-07","adam","01","Unburned","Top 2","1","pose","1"
"2017/01/07 7:47:44 PM CST","2017-01-07","adam","14","Unburned","Bottom 4","2","brte","14"
"2017/01/07 7:48:15 PM CST","2017-01-07","adam","09","Burned","Top 2","1","brte","10"
"2017/01/07 7:48:54 PM CST","2017-01-07","adam","13","Unburned","Bottom 4","2","brte","7"
"2017/01/07 7:49:27 PM CST","2017-01-07","adam","10","Unburned","Top 2","1","brte","15"
"2017/01/07 7:49:57 PM CST","2017-01-07","adam","10","Unburned","Top 2","1","pose","122"
"2017/01/07 7:50:31 PM CST","2017-01-07","adam","05","Unburned","Bottom 4","1","brte","41"
"2017/01/07 7:50:59 PM CST","2017-01-07","adam","01","Burned","Bottom 4","2","brte","3"
"2017/01/07 7:51:36 PM CST","2017-01-07","adam","05","Unburned","Bottom 4","2","brte","8"
"2017/01/07 7:52:08 PM CST","2017-01-07","adam","08","Unburned","Top 2","2","brte","9"
"2017/01/07 7:52:33 PM CST","2017-01-07","adam","08","Unburned","Top 2","2","pose","13"
"2017/01/07 7:53:29 PM CST","2017-01-07","adam","04","Unburned","Top 2","2","brte","22"
"2017/01/07 7:53:54 PM CST","2017-01-07","adam","04","Unburned","Top 2","2","pose","5"
"2017/01/07 7:54:32 PM CST","2017-01-07","adam","04","Unburned","Bottom 4","1","pose","6"
"2017/01/07 7:54:59 PM CST","2017-01-07","adam","04","Unburned","Bottom 4","1","brte","3"
"2017/01/07 7:56:22 PM CST","2017-01-07","adam","02","Burned","Top 2","1","brte","10"
"2017/01/07 7:57:28 PM CST","2017-01-07","adam","04","Burned","Top 2","2","brte","5"
"2017/01/07 7:58:02 PM CST","2017-01-07","adam","04","Burned","Top 2","1","brte","5"
"2017/01/07 7:58:48 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","4","brte","1"
"2017/01/07 7:59:19 PM CST","2017-01-07","adam","02","Burned","Bottom 4","3","brte","1"
"2017/01/07 7:59:49 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","2","brte","4"
"2017/01/07 8:00:15 PM CST","2017-01-07","adam","01","Unburned","Bottom 4","2","pose","1"
"2017/01/07 8:02:04 PM CST","2017-01-07","adam","05","Burned","Bottom 4","2","brte","4"
"2017/01/08 8:41:46 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Top 2","3","BRTE","47"
"2017/01/08 8:42:43 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Top 2","3","POSE","4"
"2017/01/08 8:44:31 PM CST","2017-01-07","Hakim Mamash","10","Unburned","Top 2","2","POSE","130"
"2017/01/08 8:45:29 PM CST","2017-01-07","Hakim Mamash","10","Unburned","Top 2","2","BRTE","1"
"2017/01/08 8:46:53 PM CST","2017-01-07","Hakim Mamash","03","Unburned","Bottom 4","2","BRTE","9"
"2017/01/08 8:48:08 PM CST","2017-01-07","Hakim Mamash","02","Unburned","Bottom 4","3","BRTE","6"
"2017/01/08 8:53:17 PM CST","2017-01-07","Hakim Mamash","02","Burned","Bottom 4","1","BRTE","1"
"2017/01/08 8:54:20 PM CST","2017-01-07","Hakim Mamash","03","Burned","Top 2","2","BRTE","3"
"2017/01/08 8:55:31 PM CST","2017-01-07","Hakim Mamash","04","Unburned","Top 2","1","BRTE","46"
"2017/01/08 8:56:44 PM CST","2017-01-07","Hakim Mamash","04","Unburned","Top 2","1","POSE","10"
"2017/01/08 8:57:41 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Bottom 4","2","POSE","2"
"2017/01/08 8:59:02 PM CST","2017-01-07","Hakim Mamash","12","Unburned","Bottom 4","2","BRTE","3"
"2017/01/08 8:59:53 PM CST","2017-01-07","Hakim Mamash","03","Unburned","Bottom 4","3","BRTE","10"
