plot,variable,start_m,stop_m,distance_m,year
s08u,fine_fuels,19.38,19.84,0.46,2016
s08u,fine_fuels,20.16,23.94,3.78,2016
s08u,fine_fuels,23.99,26.51,2.52,2016
s08u,fine_fuels,26.6,27.01,0.41,2016
s08u,fine_fuels,27.07,28.27,1.2,2016
s08u,fine_fuels,28.3,30.2,1.9,2016
s08u,fine_fuels,30.26,30.46,0.2,2016
s08u,fine_fuels,30.55,34.18,3.63,2016
s08u,fine_fuels,34.38,36.51,2.13,2016
s08u,fine_fuels,36.56,37.11,0.55,2016
s08u,fine_fuels,37.21,38.68,1.47,2016
s08u,fine_fuels,38.85,40.71,1.86,2016
s08u,fine_fuels,40.76,40.86,0.1,2016
s08u,fine_fuels,41.26,42.14,0.88,2016
s08u,fine_fuels,42.21,42.41,0.2,2016
s08u,fine_fuels,42.5,44,1.5,2016
s08u,fine_fuels,44.19,44.38,0.19,2016
s08u,fine_fuels,45.11,45.43,0.32,2016
s08u,fine_fuels,47.3,47.64,0.34,2016
s08u,fine_fuels,48.2,48.25,0.05,2016
s08u,fine_fuels,48.95,49.15,0.2,2016
s08u,shrubs,1.8,2.15,0.35,2016
s08u,shrubs,2.39,2.5,0.11,2016
s08u,shrubs,2.54,2.87,0.33,2016
s08u,shrubs,5.34,5.75,0.41,2016
s08u,shrubs,6.22,7.06,0.84,2016
s08u,shrubs,7.25,7.47,0.22,2016
s08u,shrubs,8.45,8.77,0.32,2016
s08u,shrubs,10.22,10.63,0.41,2016
s08u,shrubs,14.79,15.03,0.24,2016
s08u,shrubs,16.12,16.66,0.54,2016
s08u,shrubs,17.12,17.47,0.35,2016
s08u,shrubs,18.83,18.98,0.15,2016
s08u,shrubs,20.72,21.09,0.37,2016
s08u,shrubs,21.75,21.96,0.21,2016
s08u,shrubs,25.75,25.8,0.05,2016
s08u,shrubs,26.93,27.94,1.01,2016
s08u,shrubs,29.57,31.1,1.53,2016
s08u,shrubs,31.42,32.54,1.12,2016
s08u,shrubs,33.08,33.92,0.84,2016
s08u,shrubs,33.29,38.06,4.77,2016
s08u,shrubs,43.75,43.85,0.1,2016
s08u,shrubs,47.23,47.56,0.33,2016
s08u,shrubs,48.26,48.31,0.05,2016
s08u,shrubs,48.91,49.32,0.41,2016
s12b,fine_fuels,0.36,0.47,0.11,2016
s12b,fine_fuels,7.9,9.5,1.6,2016
s12b,fine_fuels,4.66,4.79,0.13,2016
s12b,fine_fuels,5.75,5.85,0.1,2016
s12b,fine_fuels,7.04,7.23,0.19,2016
s12b,fine_fuels,7.49,7.61,0.12,2016
s12b,fine_fuels,7.7,7.8,0.1,2016
s12b,fine_fuels,8.41,8.51,0.1,2016
s12b,fine_fuels,9.09,9.22,0.13,2016
s12b,fine_fuels,9.95,10.32,0.37,2016
s12b,fine_fuels,11.82,11.93,0.11,2016
s12b,fine_fuels,12.95,13.22,0.27,2016
s12b,fine_fuels,13.96,14.1,0.14,2016
s12b,fine_fuels,15.55,15.7,0.15,2016
s12b,fine_fuels,15.97,16.31,0.34,2016
s12b,fine_fuels,17.8,17.92,0.12,2016
s12b,fine_fuels,18.59,18.71,0.12,2016
s12b,fine_fuels,19.02,19.15,0.13,2016
s12b,fine_fuels,20.12,20.23,0.11,2016
s12b,fine_fuels,21.89,22.05,0.16,2016
s12b,fine_fuels,22.2,22.4,0.2,2016
s12b,fine_fuels,23.65,23.82,0.17,2016
s12b,fine_fuels,25.23,25.35,0.12,2016
s12b,fine_fuels,27.53,27.61,0.08,2016
s12b,fine_fuels,27.95,28.12,0.17,2016
s12b,fine_fuels,28.24,28.43,0.19,2016
s12b,fine_fuels,33.22,33.32,0.1,2016
s12b,fine_fuels,33.49,33.61,0.12,2016
s12b,fine_fuels,34.21,34.36,0.15,2016
s12b,fine_fuels,35.39,35.5,0.11,2016
s12b,fine_fuels,36.99,37.2,0.21,2016
s12b,fine_fuels,37.3,37.69,0.39,2016
s12b,fine_fuels,39.03,39.55,0.52,2016
s12b,fine_fuels,40.95,41.16,0.21,2016
s12b,fine_fuels,42.04,42.29,0.25,2016
s12b,fine_fuels,42.45,42.6,0.15,2016
s12b,fine_fuels,43.24,43.4,0.16,2016
s12b,fine_fuels,43.92,44.05,0.13,2016
s12b,fine_fuels,45.76,46.01,0.25,2016
s12b,fine_fuels,46.12,46.39,0.27,2016
s12b,fine_fuels,48.39,48.65,0.26,2016
s12b,fine_fuels,49.01,49.15,0.14,2016
s12b,shrubs,3.75,4.09,0.34,2016
s12b,shrubs,36.79,37.17,0.38,2016
s12b,shrubs,43.79,43.91,0.12,2016
s12b,shrubs,47.09,47.21,0.12,2016
s12u,fine_fuels,0,1.19,1.19,2016
s12u,fine_fuels,1.49,3.09,1.6,2016
s12u,fine_fuels,3.16,3.9,0.74,2016
s12u,fine_fuels,4.4,5.58,1.18,2016
s12u,fine_fuels,5.69,5.99,0.3,2016
s12u,fine_fuels,6.91,7.47,0.56,2016
s12u,fine_fuels,8.69,8.82,0.13,2016
s12u,fine_fuels,9.01,9.61,0.6,2016
s12u,fine_fuels,10.21,11.25,1.04,2016
s12u,fine_fuels,11.9,12.11,0.21,2016
s12u,fine_fuels,12.24,13.82,1.58,2016
s12u,fine_fuels,14,23.91,9.91,2016
s12u,fine_fuels,24.01,31.59,7.58,2016
s12u,fine_fuels,31.74,37.17,5.43,2016
s12u,fine_fuels,37.39,38.42,1.03,2016
s12u,fine_fuels,38.6,48.09,9.49,2016
s12u,fine_fuels,48.25,50,1.75,2016
s14b,fine_fuels,0,0.61,0.61,2016
s14b,fine_fuels,0.81,0.99,0.18,2016
s14b,fine_fuels,2.1,2.23,0.13,2016
s14b,fine_fuels,5.09,5.21,0.12,2016
s14b,fine_fuels,5.38,5.55,0.17,2016
s14b,fine_fuels,5.73,5.84,0.11,2016
s14b,fine_fuels,7.06,7.19,0.13,2016
s14b,fine_fuels,10.49,10.63,0.14,2016
s14b,fine_fuels,10.74,10.86,0.12,2016
s14b,fine_fuels,14.59,14.75,0.16,2016
s14b,fine_fuels,16.61,16.71,0.1,2016
s14b,fine_fuels,19.41,19.56,0.15,2016
s14b,fine_fuels,19.83,20.35,0.52,2016
s14b,fine_fuels,21.45,21.6,0.15,2016
s14b,fine_fuels,22,22.14,0.14,2016
s14b,fine_fuels,22.3,22.69,0.39,2016
s14b,fine_fuels,23.66,23.82,0.16,2016
s14b,fine_fuels,25.37,25.94,0.57,2016
s14b,fine_fuels,26.72,27.06,0.34,2016
s14b,fine_fuels,27.89,28.6,0.71,2016
s14b,fine_fuels,30.21,30.8,0.59,2016
s14b,fine_fuels,31.81,32.32,0.51,2016
s14b,fine_fuels,32.39,32.61,0.22,2016
s14b,fine_fuels,33.04,33.78,0.74,2016
s14b,fine_fuels,33.85,34.35,0.5,2016
s14b,fine_fuels,35.05,37.21,2.16,2016
s14b,fine_fuels,37.5,38.05,0.55,2016
s14b,fine_fuels,38.31,39.65,1.34,2016
s14b,fine_fuels,40.51,40.62,0.11,2016
s14b,fine_fuels,41.83,41.95,0.12,2016
s14b,fine_fuels,42.56,42.96,0.4,2016
s14b,fine_fuels,43.55,43.86,0.31,2016
s14b,fine_fuels,44.54,44.79,0.25,2016
s14b,fine_fuels,45.05,45.14,0.09,2016
s14b,fine_fuels,45.24,45.58,0.34,2016
s14b,fine_fuels,45.65,46.4,0.75,2016
s14b,fine_fuels,46.75,46.9,0.15,2016
s14b,fine_fuels,47.41,47.53,0.12,2016
s14b,fine_fuels,48.1,49.1,1,2016
s14b,fine_fuels,49.79,49.9,0.11,2016
s14b,shrubs,2.64,3.55,0.91,2016
s14b,shrubs,9.44,9.89,0.45,2016
s14b,shrubs,10.9,11.05,0.15,2016
s14b,shrubs,14.61,14.8,0.19,2016
s14b,shrubs,15.79,16.05,0.26,2016
s14b,shrubs,19,19.29,0.29,2016
s14u,fine_fuels,0.19,0.56,0.37,2016
s14u,fine_fuels,0.66,1.02,0.36,2016
s14u,fine_fuels,31.34,31.63,0.29,2016
s14u,fine_fuels,48.48,48.88,0.4,2016
s14u,fine_fuels,49.53,49.93,0.4,2016
s14u,shrubs,0,2.64,2.64,2016
s14u,shrubs,2.76,23.4,20.64,2016
s14u,shrubs,23.64,23.72,0.08,2016
s14u,shrubs,24.01,24.06,0.05,2016
s14u,shrubs,24.16,25.46,1.3,2016
s14u,shrubs,25.58,28.45,2.87,2016
s14u,shrubs,28.51,31.12,2.61,2016
s14u,shrubs,31.17,41.41,10.24,2016
s14u,shrubs,41.6,43.59,1.99,2016
s14u,shrubs,43.69,43.92,0.23,2016
s14u,shrubs,44.43,44.65,0.22,2016
s14u,shrubs,44.9,46.94,2.04,2016
s14u,shrubs,47,47.55,0.55,2016
s14u,shrubs,47.67,47.93,0.26,2016
s14u,shrubs,48.02,50,1.98,2016
s11b,fine_fuels,0.64,0.75,0.11,2016
s11b,fine_fuels,1.2,1.41,0.21,2016
s11b,fine_fuels,3.09,3.18,0.09,2016
s11b,fine_fuels,3.99,4.29,0.3,2016
s11b,fine_fuels,4.37,4.89,0.52,2016
s11b,fine_fuels,5.42,5.93,0.51,2016
s11b,fine_fuels,7.54,7.74,0.2,2016
s11b,fine_fuels,8.96,9.19,0.23,2016
s11b,fine_fuels,9.5,9.64,0.14,2016
s11b,fine_fuels,11.16,11.44,0.28,2016
s11b,fine_fuels,12.09,12.22,0.13,2016
s11b,fine_fuels,12.89,13.13,0.24,2016
s11b,fine_fuels,13.72,15.04,1.32,2016
s11b,fine_fuels,16.5,17.21,0.71,2016
s11b,fine_fuels,17.8,18.2,0.4,2016
s11b,fine_fuels,19.46,19.92,0.46,2016
s11b,fine_fuels,20.19,20.56,0.37,2016
s11b,fine_fuels,21.47,21.66,0.19,2016
s11b,fine_fuels,21.79,21.95,0.16,2016
s11b,fine_fuels,23.23,23.4,0.17,2016
s11b,fine_fuels,23.59,23.75,0.16,2016
s11b,fine_fuels,25.16,25.49,0.33,2016
s11b,fine_fuels,27.89,28.05,0.16,2016
s11b,fine_fuels,28.66,29.59,0.93,2016
s11b,fine_fuels,29.79,30.21,0.42,2016
s11b,fine_fuels,31.1,31.22,0.12,2016
s11b,fine_fuels,31.46,31.62,0.16,2016
s11b,fine_fuels,32.39,32.59,0.2,2016
s11b,fine_fuels,32.6,32.89,0.29,2016
s11b,fine_fuels,33.24,33.64,0.4,2016
s11b,fine_fuels,33.73,34.91,1.18,2016
s11b,fine_fuels,35.4,35.95,0.55,2016
s11b,fine_fuels,36.1,36.42,0.32,2016
s11b,fine_fuels,37.09,37.42,0.33,2016
s11b,fine_fuels,38.65,38.8,0.15,2016
s11b,fine_fuels,39.21,39.42,0.21,2016
s11b,fine_fuels,40.11,40.55,0.44,2016
s11b,fine_fuels,41.54,41.67,0.13,2016
s11b,fine_fuels,42.19,42.47,0.28,2016
s11b,fine_fuels,43.66,43.8,0.14,2016
s11b,fine_fuels,44.61,45.01,0.4,2016
s11b,fine_fuels,45.22,46.03,0.81,2016
s11b,fine_fuels,46.29,47.05,0.76,2016
s11b,fine_fuels,47.6,47.85,0.25,2016
s11b,fine_fuels,48.21,48.56,0.35,2016
s11b,fine_fuels,49.37,49.59,0.22,2016
s11b,fine_fuels,49.8,50,0.2,2016
s11b,shrubs,0.81,0.87,0.06,2016
s11b,shrubs,2.55,2.67,0.12,2016
s11u,fine_fuels,2.78,2.9,0.12,2016
s11u,fine_fuels,5.21,7.26,2.05,2016
s11u,fine_fuels,8.14,10.32,2.18,2016
s11u,fine_fuels,10.73,11.53,0.8,2016
s11u,fine_fuels,11.74,12.77,1.03,2016
s11u,fine_fuels,13.36,14.07,0.71,2016
s11u,fine_fuels,14.17,14.65,0.48,2016
s11u,fine_fuels,14.71,14.76,0.05,2016
s11u,fine_fuels,14.87,16.45,1.58,2016
s11u,fine_fuels,16.9,18.14,1.24,2016
s11u,fine_fuels,18.79,24.67,5.88,2016
s11u,fine_fuels,24.89,29.23,4.34,2016
s11u,fine_fuels,29.4,31.62,2.22,2016
s11u,fine_fuels,31.85,33.12,1.27,2016
s11u,fine_fuels,34.02,36.79,2.77,2016
s11u,fine_fuels,37.15,41.33,4.18,2016
s11u,fine_fuels,41.92,47.13,5.21,2016
s11u,fine_fuels,48.2,50,1.8,2016
s11u,shrubs,0.19,0.89,0.7,2016
s11u,shrubs,3.12,3.87,0.75,2016
s11u,shrubs,6.56,7.06,0.5,2016
s11u,shrubs,8.24,9.1,0.86,2016
s11u,shrubs,12,12.22,0.22,2016
s11u,shrubs,15.29,16.25,0.96,2016
s11u,shrubs,19.58,19.85,0.27,2016
s11u,shrubs,20.56,20.7,0.14,2016
s11u,shrubs,20.8,21.42,0.62,2016
s11u,shrubs,22.68,24,1.32,2016
s11u,shrubs,26.25,29.18,2.93,2016
s11u,shrubs,29.6,30.55,0.95,2016
s11u,shrubs,30.77,31.49,0.72,2016
s11u,shrubs,32.49,32.85,0.36,2016
s11u,shrubs,34.7,36.55,1.85,2016
s11u,shrubs,37.72,38.12,0.4,2016
s11u,shrubs,38.17,38.57,0.4,2016
s11u,shrubs,39,40.32,1.32,2016
s11u,shrubs,42.33,42.4,0.07,2016
s11u,shrubs,47.47,49.7,2.23,2016
s09b,fine_fuels,0.61,1.23,0.62,2016
s09b,fine_fuels,1.96,2.53,0.57,2016
s09b,fine_fuels,2.94,3.29,0.35,2016
s09b,fine_fuels,3.77,4.12,0.35,2016
s09b,fine_fuels,5.25,5.33,0.08,2016
s09b,fine_fuels,6.03,6.23,0.2,2016
s09b,fine_fuels,6.74,6.86,0.12,2016
s09b,fine_fuels,8.21,8.36,0.15,2016
s09b,fine_fuels,8.74,8.85,0.11,2016
s09b,fine_fuels,10.73,10.81,0.08,2016
s09b,fine_fuels,12.33,12.45,0.12,2016
s09b,fine_fuels,12.81,12.93,0.12,2016
s09b,fine_fuels,13.76,13.9,0.14,2016
s09b,fine_fuels,15.17,15.27,0.1,2016
s09b,fine_fuels,16.79,16.87,0.08,2016
s09b,fine_fuels,17.1,17.23,0.13,2016
s09b,fine_fuels,19.11,19.38,0.27,2016
s09b,fine_fuels,20.66,20.8,0.14,2016
s09b,fine_fuels,22.53,22.64,0.11,2016
s09b,fine_fuels,24.23,24.37,0.14,2016
s09b,fine_fuels,26.9,27.2,0.3,2016
s09b,fine_fuels,29,29.09,0.09,2016
s09b,fine_fuels,32.97,33.09,0.12,2016
s09b,fine_fuels,34.2,34.55,0.35,2016
s09b,fine_fuels,36.45,36.57,0.12,2016
s09b,fine_fuels,37.27,37.37,0.1,2016
s09b,fine_fuels,37.8,38,0.2,2016
s09b,fine_fuels,38.65,38.92,0.27,2016
s09b,fine_fuels,39.02,39.15,0.13,2016
s09b,fine_fuels,40.11,40.33,0.22,2016
s09b,fine_fuels,43.05,43.16,0.11,2016
s09b,fine_fuels,44.22,44.31,0.09,2016
s09b,fine_fuels,44.62,44.75,0.13,2016
s09b,fine_fuels,44.93,45.31,0.38,2016
s09b,fine_fuels,46.83,47.02,0.19,2016
s09b,fine_fuels,49.4,49.5,0.1,2016
s09b,fine_fuels,49.75,49.84,0.09,2016
s09b,shrubs,1.59,2.16,0.57,2016
s09u,fine_fuels,3.37,3.96,0.59,2016
s09u,fine_fuels,4.2,4.9,0.7,2016
s09u,fine_fuels,5.74,6.51,0.77,2016
s09u,fine_fuels,7.26,7.4,0.14,2016
s09u,fine_fuels,7.55,7.96,0.41,2016
s09u,fine_fuels,8.96,9.25,0.29,2016
s09u,fine_fuels,9.29,9.37,0.08,2016
s09u,fine_fuels,10.43,12.09,1.66,2016
s09u,fine_fuels,15.58,15.72,0.14,2016
s09u,fine_fuels,16.52,16.73,0.21,2016
s09u,fine_fuels,17.49,17.64,0.15,2016
s09u,fine_fuels,18.32,21.61,3.29,2016
s09u,fine_fuels,22.28,22.46,0.18,2016
s09u,fine_fuels,22.89,23.28,0.39,2016
s09u,fine_fuels,23.36,23.65,0.29,2016
s09u,fine_fuels,24.48,26.18,1.7,2016
s09u,fine_fuels,28.1,28.9,0.8,2016
s09u,fine_fuels,29.58,30.86,1.28,2016
s09u,fine_fuels,31.07,34.22,3.15,2016
s09u,fine_fuels,35.17,35.32,0.15,2016
s09u,fine_fuels,35.44,36.43,0.99,2016
s09u,fine_fuels,37.22,38.29,1.07,2016
s09u,fine_fuels,39.25,41.34,2.09,2016
s09u,fine_fuels,41.47,43.65,2.18,2016
s09u,fine_fuels,43.72,44.85,1.13,2016
s09u,fine_fuels,44.93,47.83,2.9,2016
s09u,fine_fuels,48.1,50,1.9,2016
s09u,shrubs,0.69,0.85,0.16,2016
s09u,shrubs,1.24,1.62,0.38,2016
s09u,shrubs,4.09,4.51,0.42,2016
s09u,shrubs,4.74,4.95,0.21,2016
s09u,shrubs,5.75,6.51,0.76,2016
s09u,shrubs,7.36,7.94,0.58,2016
s09u,shrubs,10.6,11.99,1.39,2016
s09u,shrubs,19.67,20.3,0.63,2016
s09u,shrubs,21.03,21.48,0.45,2016
s09u,shrubs,22.89,23.34,0.45,2016
s09u,shrubs,23.9,24.45,0.55,2016
s09u,shrubs,28.2,29.04,0.84,2016
s09u,shrubs,29.75,30,0.25,2016
s09u,shrubs,34.65,34.74,0.09,2016
s09u,shrubs,38.07,38.17,0.1,2016
s09u,shrubs,39.83,40.4,0.57,2016
s09u,shrubs,44.3,44.59,0.29,2016
s09u,shrubs,46.25,47.09,0.84,2016
s09u,shrubs,47.34,47.55,0.21,2016
s09u,shrubs,48.73,49.06,0.33,2016
s04b,fine_fuels,0.1,0.49,0.39,2016
s04b,fine_fuels,1.29,1.42,0.13,2016
s04b,fine_fuels,3.21,3.36,0.15,2016
s04b,fine_fuels,4.49,4.62,0.13,2016
s04b,fine_fuels,5.46,5.73,0.27,2016
s04b,fine_fuels,5.93,6.33,0.4,2016
s04b,fine_fuels,7.56,8.09,0.53,2016
s04b,fine_fuels,8.91,9.23,0.32,2016
s04b,fine_fuels,9.51,9.7,0.19,2016
s04b,fine_fuels,10.34,10.47,0.13,2016
s04b,fine_fuels,11,11.23,0.23,2016
s04b,fine_fuels,11.75,11.88,0.13,2016
s04b,fine_fuels,13.01,13.27,0.26,2016
s04b,fine_fuels,14.2,14.92,0.72,2016
s04b,fine_fuels,15.36,15.58,0.22,2016
s04b,fine_fuels,16.3,16.68,0.38,2016
s04b,fine_fuels,18.79,19.4,0.61,2016
s04b,fine_fuels,20,20.35,0.35,2016
s04b,fine_fuels,21.8,21.95,0.15,2016
s04b,fine_fuels,22.71,24.01,1.3,2016
s04b,fine_fuels,24.5,24.85,0.35,2016
s04b,fine_fuels,25,25.43,0.43,2016
s04b,fine_fuels,26.69,27.15,0.46,2016
s04b,fine_fuels,28.5,28.41,-0.09,2016
s04b,fine_fuels,29.66,29.79,0.13,2016
s04b,fine_fuels,30.69,30.9,0.21,2016
s04b,fine_fuels,31.65,31.79,0.14,2016
s04b,fine_fuels,32.49,32.67,0.18,2016
s04b,fine_fuels,33.19,33.5,0.31,2016
s04b,fine_fuels,34.8,35.31,0.51,2016
s04b,fine_fuels,35.45,35.5,0.05,2016
s04b,fine_fuels,35.8,36.18,0.38,2016
s04b,fine_fuels,37.72,37.93,0.21,2016
s04b,fine_fuels,39.6,39.71,0.11,2016
s04b,fine_fuels,40.19,41.47,1.28,2016
s04b,fine_fuels,42.39,42.49,0.1,2016
s04b,fine_fuels,43.89,44,0.11,2016
s04b,fine_fuels,44.35,44.47,0.12,2016
s04b,fine_fuels,45.39,46.03,0.64,2016
s04b,fine_fuels,46.85,47.12,0.27,2016
s04b,fine_fuels,47.61,48.01,0.4,2016
s04b,fine_fuels,48.24,48.51,0.27,2016
s04b,fine_fuels,49.3,49.65,0.35,2016
s04b,fine_fuels,49.84,49.93,0.09,2016
s04b,shrubs,0,0,0,2016
s04u,fine_fuels,0,5.3,5.3,2016
s04u,fine_fuels,5.45,7.55,2.1,2016
s04u,fine_fuels,9.55,10.13,0.58,2016
s04u,fine_fuels,10.93,12.23,1.3,2016
s04u,fine_fuels,12.9,13.51,0.61,2016
s04u,fine_fuels,14.12,15.1,0.98,2016
s04u,fine_fuels,15.4,16.89,1.49,2016
s04u,fine_fuels,17.2,20.68,3.48,2016
s04u,fine_fuels,20.76,21.95,1.19,2016
s04u,fine_fuels,22.04,22.69,0.65,2016
s04u,fine_fuels,23.05,24.76,1.71,2016
s04u,fine_fuels,25.9,31.08,5.18,2016
s04u,fine_fuels,31.98,32.12,0.14,2016
s04u,fine_fuels,32.45,33,0.55,2016
s04u,fine_fuels,33.65,35.29,1.64,2016
s04u,fine_fuels,35.41,42.06,6.65,2016
s04u,fine_fuels,42.65,44.4,1.75,2016
s04u,fine_fuels,44.96,50,5.04,2016
s04u,shrubs,3.12,3.63,0.51,2016
s04u,shrubs,3.76,4.24,0.48,2016
s04u,shrubs,4.87,4.96,0.09,2016
s04u,shrubs,5.7,6,0.3,2016
s04u,shrubs,11.12,11.56,0.44,2016
s04u,shrubs,14.62,14.9,0.28,2016
s04u,shrubs,15.81,15.97,0.16,2016
s04u,shrubs,17.83,18.43,0.6,2016
s04u,shrubs,24.1,24.66,0.56,2016
s04u,shrubs,25,25.6,0.6,2016
s04u,shrubs,25.9,27.4,1.5,2016
s04u,shrubs,28.48,29.13,0.65,2016
s04u,shrubs,33.68,34.65,0.97,2016
s04u,shrubs,35.45,35.81,0.36,2016
s04u,shrubs,36.4,36.99,0.59,2016
s04u,shrubs,39.91,40.84,0.93,2016
s04u,shrubs,43.1,43.62,0.52,2016
s04u,shrubs,43.77,44.4,0.63,2016
s04u,shrubs,46.05,46.85,0.8,2016
s04u,shrubs,47.6,47.79,0.19,2016
s05b,fine_fuels,0.41,0.72,0.31,2016
s05b,fine_fuels,4.7,4.81,0.11,2016
s05b,fine_fuels,5.29,5.5,0.21,2016
s05b,fine_fuels,5.64,5.77,0.13,2016
s05b,fine_fuels,5.95,6.11,0.16,2016
s05b,fine_fuels,7.79,7.87,0.08,2016
s05b,fine_fuels,10.21,10.92,0.71,2016
s05b,fine_fuels,11.52,12.23,0.71,2016
s05b,fine_fuels,13.01,13.19,0.18,2016
s05b,fine_fuels,14.79,14.96,0.17,2016
s05b,fine_fuels,16.19,16.31,0.12,2016
s05b,fine_fuels,17.8,17.88,0.08,2016
s05b,fine_fuels,18.81,18.95,0.14,2016
s05b,fine_fuels,19.51,19.67,0.16,2016
s05b,fine_fuels,19.98,20.7,0.72,2016
s05b,fine_fuels,22.25,22.49,0.24,2016
s05b,fine_fuels,22.53,22.9,0.37,2016
s05b,fine_fuels,24.79,25.17,0.38,2016
s05b,fine_fuels,25.4,25.62,0.22,2016
s05b,fine_fuels,25.83,25.95,0.12,2016
s05b,fine_fuels,26.31,27.19,0.88,2016
s05b,fine_fuels,27.49,28.4,0.91,2016
s05b,fine_fuels,28.58,29.06,0.48,2016
s05b,fine_fuels,29.25,30.31,1.06,2016
s05b,fine_fuels,31.29,31.98,0.69,2016
s05b,fine_fuels,32.7,33.21,0.51,2016
s05b,fine_fuels,35.09,35.23,0.14,2016
s05b,fine_fuels,37.5,37.89,0.39,2016
s05b,fine_fuels,38.4,38.51,0.11,2016
s05b,fine_fuels,40.11,40.36,0.25,2016
s05b,fine_fuels,42.11,42.4,0.29,2016
s05b,fine_fuels,44.07,44.16,0.09,2016
s05b,fine_fuels,44.51,44.63,0.12,2016
s05b,fine_fuels,46.83,47.34,0.51,2016
s05b,fine_fuels,47.6,48.29,0.69,2016
s05b,fine_fuels,48.39,48.89,0.5,2016
s05b,fine_fuels,49.5,49.7,0.2,2016
s05b,shrubs,0,0,0,2016
s05u,fine_fuels,1.62,2.67,1.05,2016
s05u,fine_fuels,2.76,19.61,16.85,2016
s05u,fine_fuels,20.29,20.96,0.67,2016
s05u,fine_fuels,22.4,23.5,1.1,2016
s05u,fine_fuels,25.05,28.76,3.71,2016
s05u,fine_fuels,28.84,29.91,1.07,2016
s05u,fine_fuels,30.09,33.51,3.42,2016
s05u,fine_fuels,34.8,36.29,1.49,2016
s05u,fine_fuels,36.61,38.67,2.06,2016
s05u,fine_fuels,39.04,44.29,5.25,2016
s05u,fine_fuels,44.72,46.48,1.76,2016
s05u,fine_fuels,47.03,47.32,0.29,2016
s05u,fine_fuels,47.37,48.65,1.28,2016
s05u,fine_fuels,49.04,50,0.96,2016
s05u,shrubs,0.8,1.75,0.95,2016
s05u,shrubs,4.98,5.45,0.47,2016
s05u,shrubs,8.22,8.6,0.38,2016
s05u,shrubs,9.21,9.47,0.26,2016
s05u,shrubs,11.98,12.33,0.35,2016
s05u,shrubs,13.34,13.7,0.36,2016
s05u,shrubs,16.16,16.92,0.76,2016
s05u,shrubs,17.3,17.5,0.2,2016
s05u,shrubs,17.83,17.9,0.07,2016
s05u,shrubs,18.56,18.94,0.38,2016
s05u,shrubs,21.65,21.88,0.23,2016
s05u,shrubs,22.91,23.44,0.53,2016
s05u,shrubs,25.21,26.84,1.63,2016
s05u,shrubs,27.05,28.5,1.45,2016
s05u,shrubs,30.19,32.58,2.39,2016
s05u,shrubs,34.49,35.12,0.63,2016
s05u,shrubs,35.46,35.63,0.17,2016
s05u,shrubs,37.52,38.39,0.87,2016
s05u,shrubs,38.98,39.13,0.15,2016
s05u,shrubs,39.26,40.77,1.51,2016
s05u,shrubs,41.9,42.02,0.12,2016
s05u,shrubs,42.11,42.89,0.78,2016
s05u,shrubs,43.6,43.85,0.25,2016
