plot,variable,start_m,stop_m,distance_m,year
s08b,fine_fuels,0.14,0.24,0.1,2016
s08b,fine_fuels,0.36,0.47,0.11,2016
s08b,fine_fuels,0.54,0.62,0.08,2016
s08b,fine_fuels,1.43,1.55,0.12,2016
s08b,fine_fuels,3.9,4.03,0.13,2016
s08b,fine_fuels,4.35,4.52,0.17,2016
s08b,fine_fuels,5.89,6.04,0.15,2016
s08b,fine_fuels,6.4,6.66,0.26,2016
s08b,fine_fuels,6.87,7.27,0.4,2016
s08b,fine_fuels,7.46,7.66,0.2,2016
s08b,fine_fuels,9.23,9.32,0.09,2016
s08b,fine_fuels,11.84,11.98,0.14,2016
s08b,fine_fuels,12.49,12.74,0.25,2016
s08b,fine_fuels,14.89,15,0.11,2016
s08b,fine_fuels,16.89,16.99,0.1,2016
s08b,fine_fuels,17.53,17.72,0.19,2016
s08b,fine_fuels,19.37,19.49,0.12,2016
s08b,fine_fuels,24.22,24.38,0.16,2016
s08b,fine_fuels,26.09,26.21,0.12,2016
s08b,fine_fuels,27.06,27.16,0.1,2016
s08b,fine_fuels,28.34,28.44,0.1,2016
s08b,fine_fuels,30.65,30.8,0.15,2016
s08b,fine_fuels,31.19,31.42,0.23,2016
s08b,fine_fuels,35.42,35.64,0.22,2016
s08b,fine_fuels,36.3,36.46,0.16,2016
s08b,fine_fuels,41.69,41.76,0.07,2016
s08b,fine_fuels,43.4,43.96,0.56,2016
s08b,fine_fuels,46.9,47,0.1,2016
s08b,shrubs,29.32,29.65,0.33,2016
s08b,shrubs,33.1,33.26,0.16,2016
s08b,shrubs,39.19,39.29,0.1,2016
s08u,fine_fuels,0,0.14,0.14,2016
s08u,fine_fuels,0.54,0.73,0.19,2016
s08u,fine_fuels,0.97,3.02,2.05,2016
s08u,fine_fuels,3.09,3.22,0.13,2016
s08u,fine_fuels,3.64,7.21,3.57,2016
s08u,fine_fuels,7.54,7.71,0.17,2016
s08u,fine_fuels,8.24,9.55,1.31,2016
s08u,fine_fuels,9.75,9.99,0.24,2016
s08u,fine_fuels,10.72,10.87,0.15,2016
s08u,fine_fuels,12.44,13.15,0.71,2016
s08u,fine_fuels,13.3,13.97,0.67,2016
s08u,fine_fuels,14.19,15.51,1.32,2016
s08u,fine_fuels,15.59,16.85,1.26,2016
s08u,fine_fuels,16.92,17.56,0.64,2016
s08u,fine_fuels,18.61,19.3,0.69,2016
