"","Elevation","rdnbr_mean","rdnbr_th_mean","rbr_mean","rbr_th_mean"
"1",1607.43798828,919.681472707154,1186.24237065587,166.003242760217,210.937190097918
"2",1397.39160156,3569.5203749762,4667.64407500962,331.505195883045,348.888955766252
"3",1401.23681641,2802.86185796207,3695.72906866421,262.086116061808,312.301948337556
"4",1421.18383789,1464.64294094556,1855.48462526742,257.192571390388,307.478376173183
"5",1416.85791016,1497.00584577362,1761.13064852186,287.341677983636,323.384043484698
"6",1522.12158203,1176.80622570168,1556.89419225369,138.818093642996,178.930635890258
"7",1520.19897461,946.06461404493,1251.91993995315,181.760905823898,248.537554465045
"8",1522.12158203,342.061026347298,544.183240901577,71.0857406458701,113.506991661762
"9",1522.36181641,465.642004581697,784.999800733931,49.0127676176071,81.6332326608906
"10",1518.27636719,722.437985992535,1021.23873978195,140.249065823739,208.254301403839
"11",1527.88964844,2532.50713132494,3511.74966945145,220.893386756732,275.472948004481
"12",1580.52124023,865.663948950936,1058.18727788365,218.738085123082,269.0675635011
"13",1574.0324707,1014.13096241555,1233.80450922608,252.318133114944,309.341922996456
"14",1579.07910156,1036.13847810795,1228.25760293714,294.458470359761,354.36072215512
